datathrough,confonly,teamname,season,efg_pct,rankefg_pct,to_pct,rankto_pct,or_pct,rankor_pct,ft_rate,rankft_rate,defg_pct,rankdefg_pct,dto_pct,rankdto_pct,dor_pct,rankdor_pct,dft_rate,rankdft_rate,oe,rankoe,de,rankde,tempo,ranktempo,adjoe,rankadjoe,adjde,rankadjde,adjtempo,rankadjtempo,source_name,endpoint,processed_at_utc,processed_at_local
"Sunday, February 1",true,Dartmouth,2026,53.96,4,14.285,3,24.255,8,35.396,2,50.922,4,13.043,8,30.385,6,31.106,4,111.174,5,112.624,6,67.8181,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Davidson,2026,52.055,7,16.18,7,31.596,4,26.81,11,50.907,4,17.919,3,33.333,12,32.056,5,108.038,9,106.124,6,62.1322,14,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Dayton,2026,50.0,10,18.099,11,25.952,14,44.05,3,51.394,6,22.301,1,34.416,13,36.653,11,104.393,10,103.909,2,67.8324,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Delaware,2026,49.799,8,17.445,9,21.359,11,32.53,9,49.822,3,12.922,12,29.769,3,30.373,2,99.8243,12,111.454,11,61.1733,12,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Delaware St.,2026,45.873,8,19.83,5,28.646,6,42.222,8,52.824,7,20.573,4,25.595,1,43.854,4,94.4384,8,101.627,3,67.2396,7,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Denver,2026,53.363,6,12.887,2,29.63,5,30.619,6,53.922,5,11.773,9,32.424,7,36.364,7,117.415,4,118.052,7,69.8375,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,DePaul,2026,49.678,8,18.341,11,29.333,8,29.147,10,49.756,4,16.014,6,29.973,2,37.459,8,101.559,10,106.897,5,66.4193,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Detroit Mercy,2026,51.406,9,16.152,7,36.156,3,35.207,6,52.038,3,13.322,11,30.926,5,38.179,8,114.36,5,114.006,7,70.6833,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Drake,2026,50.072,6,15.34,3,25.909,8,39.511,2,52.882,9,16.886,5,29.481,8,39.193,9,105.243,6,110.118,8,69.3433,2,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Drexel,2026,50.75,8,18.123,13,29.518,11,28.143,11,42.389,1,16.359,8,32.425,9,29.735,3,102.001,12,96.3875,1,62.3525,13,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Duke,2026,56.262,2,16.819,15,40.068,1,40.27,3,51.703,10,20.815,1,25.926,2,21.844,1,122.892,1,99.7461,2,66.725,12,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Duquesne,2026,51.883,8,17.375,10,28.793,10,38.983,5,51.415,7,15.514,8,26.935,2,38.868,13,108.752,7,107.821,8,68.8932,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,East Carolina,2026,46.846,10,15.459,3,31.548,10,36.364,7,51.763,11,15.942,6,32.609,6,33.952,4,102.896,11,111.109,10,67.9711,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,East Tennessee St.,2026,55.456,3,12.491,2,29.53,7,36.494,4,50.182,2,18.584,1,26.901,2,32.24,5,119.88,3,103.125,1,65.6488,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,East Texas A&M,2026,48.094,11,20.418,10,28.111,10,28.886,12,50.843,7,16.505,11,34.965,10,34.972,3,95.73,12,110.157,8,68.1604,3,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Eastern Illinois,2026,45.381,9,17.804,6,29.535,10,34.018,7,48.258,6,21.019,2,33.907,9,37.121,6,97.5534,9,101.881,6,66.0705,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Eastern Kentucky,2026,56.353,6,16.19,8,34.278,1,30.858,10,55.277,7,15.178,8,31.902,9,43.253,12,118.1,5,119.256,9,67.6288,8,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
"Sunday, February 1",true,Eastern Michigan,2026,50.174,10,16.76,7,27.666,10,33.624,10,50.509,3,15.604,11,29.06,5,37.012,8,103.74,11,109.231,6,67.6475,11,,,,,,,kenpom_api,four-factors,2026-02-02 03:42:04 UTC,2026-02-01 21:42:04 Central Standard Time
